Month,Posting Date,Category,CustomerName,,Ship-to Code,BILL TO STATE,Item/Service Description,Qty,Basic Value
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Karnataka,ATOMIK BB20 BK,-1,"-1,569.11"
May-2024,03/05/2024,Customer Sale,GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,,,Maharashtra,EM06-TYPE-C-BL,1,376.27
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,PRESTIZE - MLR,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,PROZONE MALL - CMBT,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,BHAWANI ENTERPRISE,,Gujarat,Gujarat,SBA15 BK,5,"3,100.00"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Madhya Pradesh,SBA15 BK,-1,-829.66
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,RMZ GALLERIA SHOPPING CENTRE,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,OMR - BLR,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,BHAWANI ENTERPRISE,,Gujarat,Gujarat,ATOMIK BB20 BK,76,"104,880.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,PRESTIZE KUKATPALI,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,M V ENTERPRISES,,ARPIT TRADERS,Maharashtra,SBA15 BK,45,"24,750.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,SPECTRUM MALL NOIDA,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Maharashtra,SBA15 BK,-1,-829.66
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,BROOKFIELD MALL - CMBT,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,WSM-GZB,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,PRESTIZE KUKATPALI,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Maharashtra,SBA15 BK,-1,-829.66
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,VR MALL CHN,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,VEGA CITY - BANGALORE,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,WSM-GZB,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,B.G.ROAD - BLR,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,MGF MALL GGN,Karnataka,SBA15 BK,2,"1,218.00"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Karnataka,SBA20 BK,-1,"-1,110.21"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,MALLESHWARAM - BLR,Karnataka,SBA15 BK,6,"3,654.00"
May-2024,03/05/2024,Customer Sale,ARCO GIFT PRODUCTS,,DELHI2,Delhi,SBA20-Pro-BK,10,"11,670.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,VEGA CITY - BANGALORE,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,VR MALL CHN,Karnataka,SBA15 BK,4,"2,436.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,PRESTIZE - MLR,Karnataka,SBA15 BK,2,"1,218.00"
May-2024,03/05/2024,Customer Sale,MAX HYPERMARKET INDIA PVT LTD,,OMR - BLR,Karnataka,ATOMIK BB20 BK,4,"5,148.00"
